# T_int(K),TSod_metal_u1.0(K),fluxSalt_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSalt_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSalt_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSalt_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.388752040248277808e+02,5.500858241804335266e+05,8.380995043549213506e+02,8.419140801849876298e+05,8.368730789643498156e+02,1.060392178042984800e+06,8.356122659153497807e+02,1.234734725114760688e+06
5.881499999999999773e+02,8.511998508323715669e+02,5.585261136099813739e+05,8.507583783296236106e+02,8.509338831627299078e+05,8.499883935279719935e+02,1.068861853706564987e+06,8.491889044304938352e+02,1.242312721701979171e+06
6.131499999999999773e+02,8.598322792046074028e+02,5.558822248329687864e+05,8.594646656112284973e+02,8.420660331503276248e+05,8.587262666772861621e+02,1.053154905553873163e+06,8.579518701399888414e+02,1.219819202450336656e+06
6.381499999999999773e+02,8.686326006721840258e+02,5.489502021568249911e+05,8.683295553815519270e+02,8.267245617704726756e+05,8.675854267843590151e+02,1.029416482850972563e+06,8.667950683094138640e+02,1.188116115558859194e+06
6.631499999999999773e+02,8.778898125885841637e+02,5.377023436316871084e+05,8.776918507879667004e+02,8.052708621068813372e+05,8.770047784260549406e+02,9.987581409740673844e+05,8.762607926053436813e+02,1.149213896184004610e+06
6.881499999999999773e+02,8.873773454351766077e+02,5.212978563820196432e+05,8.873015136917522341e+02,7.765515162972758990e+05,8.866477696276176630e+02,9.595250415517830988e+05,8.859184702626067747e+02,1.100851545909033855e+06
7.131499999999999773e+02,8.972313739344109536e+02,5.003138425630677957e+05,8.973150539240793933e+02,7.416332860409793211e+05,8.967538769835078938e+02,9.135213311052474892e+05,8.960969142981630284e+02,1.045654930649807095e+06
7.381499999999999773e+02,9.076122352630071646e+02,4.760114174046816188e+05,9.079017520442473597e+02,7.024502475896985270e+05,9.074062880344247333e+02,8.627026988816008670e+05,9.067801645108462480e+02,9.852772658835073235e+05
7.631499999999999773e+02,9.183099298061654281e+02,4.490969463349106372e+05,9.188540776715869924e+02,6.599731754197499249e+05,9.184574462948878590e+02,8.084342755835272837e+05,9.179207479658367674e+02,9.217203358579733176e+05
7.881499999999999773e+02,9.298021122098970181e+02,4.223046908033479122e+05,9.306001718487711969e+02,6.179274652171623893e+05,9.303440958954458893e+02,7.551915293603845639e+05,9.298772105179143637e+02,8.594995236564632505e+05
8.131499999999999773e+02,9.415658430241111319e+02,3.955757937653118279e+05,9.426700072890184856e+02,5.762708486410727492e+05,9.425504911241873742e+02,7.024974390295452904e+05,9.421702385239047999e+02,7.980907900592937367e+05
8.381499999999999773e+02,9.536629987880801309e+02,3.702605296111728530e+05,9.550920856524547844e+02,5.367313686592958402e+05,9.551167136859867242e+02,6.523680603785687126e+05,9.548277233170007321e+02,7.395669361375635490e+05
