0,1,2,3,4
563.15,556380.247121922,850098.473890497,1069574.97355157,1244452.36528448
588.15,564698.497749069,858972.021765224,1077867.62494156,1251826.73408641
613.15,561891.50126228,849822.334266607,1061774.23971926,1228860.97358108
638.15,554768.196754354,834158.329639837,1037605.34144276,1196642.86468522
663.15,543289.287455209,812349.31652981,1006498.98425756,1157224.74040191
688.15,526624.496108691,783241.106954728,966787.714618942,1108322.58141754
713.15,505343.216353338,747909.281343565,920299.346571017,1052597.3726057
738.15,480737.619147951,708306.913367494,868993.432946287,991692.008959477
763.15,453494.78323029,665405.094133447,814242.572061865,927629.511136146
788.15,426395.146134599,622947.957052197,760544.892342565,864926.402264378
813.15,399359.697675333,580891.381655834,707405.585531269,803051.159916258
838.15,373751.17946945,540967.174177155,656846.115095232,744075.379057654
