0,1,2,3,4
563.15,464132.028818131,672601.735591888,805499.720573425,899660.921096802
588.15,445038.616657257,635604.524612427,755115.818977356,838883.244991303
613.15,419391.119480133,590743.827819824,696576.929092407,770030.832290649
638.15,386996.579170227,538069.212436676,630113.184452057,693447.113037109
663.15,348063.296079636,478063.368797302,556351.256370544,609836.649894714
688.15,321852.266788483,441830.909252167,513371.753692627,561886.262893677
713.15,298880.809545517,407221.186161041,471352.3209095,514647.51958847
738.15,274535.632133484,371692.699193954,428897.404670715,467392.253875732
763.15,249778.574705124,336308.78329277,387061.488628387,421133.053302765
788.15,225481.784343719,302008.855342865,346758.615970612,376745.015382767
813.15,202345.69311142,269534.653425217,308707.511425018,334910.279512405
838.15,180884.56094265,239424.926042557,273428.630828857,296123.337745667
873.15,154277.583956718,201875.984668732,229293.739795685,247502.613067627
