0,0.25,0.5,0.75,1,2,3,4
563.15,170682.065486908,282876.057624817,370096.19474411,442045.405507088,644343.107938767,773650.419712067,865337.979793549
588.15,175450.196266174,285046.865940094,369523.339271545,438680.440187454,630500.280857086,751089.072227478,835656.654834747
613.15,177981.66513443,284183.924198151,365332.78465271,431272.500753403,611815.798282623,723566.871881485,801151.967048645
638.15,178107.353448868,280094.156265259,357369.456291199,419725.698232651,588457.834720612,691457.343101501,762336.701154709
663.15,175745.003223419,272715.013027191,345630.285739899,404107.597470284,560739.725828171,655227.243900299,719768.488407135
688.15,170996.227264404,262250.900268555,330425.186157227,384821.227192879,529312.926530838,615646.636486053,674270.498752594
713.15,164188.759326935,249210.94417572,312410.097122192,362580.001354218,490452.814102173,566341.412067413,617722.55897522
738.15,151926.536560059,221506.171226501,272862.062454224,313484.847545624,420066.177845001,482984.685897827,525450.813770294
763.15,131460.230350494,187510.137557983,228742.513656616,261279.35051918,346339.654922485,396357.703208923,430039.811134338
788.15,109672.131538391,151726.851463318,182566.633224487,206851.589679718,270146.572589874,307247.638702393,332185.852527618
813.15,86902.129650116,117996.356487274,145147.864818573,166561.698913574,222373.506426811,254994.934797287,276845.818758011
838.15,74006.0365200043,106412.732601166,130217.273235321,148954.713344574,197636.216878891,225985.422730446,244936.034083366
873.15,65327.1698951721,92226.5934944153,111873.624324799,127267.283201218,166971.808671951,189908.450841904,205166.304111481
