UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Az(deg), El (deg), DNI (W/m2), T_amb (C), wind speed (m/s
1967,1,30,8,133.081254435217,15.0974877414268,450,10.5,0
1967,1,30,11,174.516434643904,31.8535113213626,688,16.3,1.7
1967,1,30,12,190.703277987232,31.2935767192733,482,18.3,2.6
1968,3,24,7,111.045690737254,12.3086205463392,729,11.1,5
1968,3,24,8,121.397709173318,23.3600824755445,613,13.9,3.8
1968,3,24,9,134.053078377272,33.1182746152469,704,16.7,2.6
1968,3,24,10,149.969394697691,40.7341425735652,843,18.7,2.6
1968,3,24,11,169.342881840551,45.0576926420218,799,20.8,2.6
1968,3,24,12,190.35645459135,45.1058415953798,930,22.8,2.6
1968,3,24,13,209.794908272893,40.8662220137147,846,23.7,3.3
1968,3,24,14,225.793653484394,33.3096307468393,582,24.7,3.9
1968,3,24,15,238.518904625472,23.590041189185,704,25.6,4.6
1968,3,24,16,248.924286573888,12.5644186776723,577,24.1,3.6
1969,4,26,7,101.952199455938,21.6816636662091,876,15.7,6.2
1969,4,26,8,112.453915098116,33.4456921554296,948,17.6,7.7
1969,4,26,9,125.894579357745,44.2148527981439,989,19.4,9.3
1969,4,26,10,144.426752516039,52.9496309694321,1007,20.5,9.1
1969,4,26,11,169.554353098951,57.8388301715589,1021,21.7,9
1969,4,26,12,197.56971225631,57.0772202502124,1020,22.8,8.8
1969,4,26,13,221.07038142047,51.0008855281753,1006,22.8,7.9
1969,4,26,14,238.08198189289,41.610793250365,978,22.8,7.1
1969,4,26,15,250.601246237503,30.5215159075373,930,22.8,6.2
1969,4,26,16,260.627850847057,18.6147613234881,835,21.5,4.1
1969,4,26,17,269.487175251072,6.37106818498621,618,20.2,2.1
1974,12,30,8,134.822195723727,18.2077023222438,794,3.1,4.7
1974,12,30,9,147.327098642016,25.9482957447887,904,5,5.2
1974,12,30,10,162.017062718742,31.2250156954143,854,6.7,5.9
1974,12,30,11,178.310291450106,33.3311507249875,573,8.3,6.5
1968,10,3,8,109.68472335514,37.2586406741548,560,22.6,4.3
1968,10,3,9,123.416054710973,48.2694548403474,646,25,4.1
1968,10,3,10,143.203536045833,57.265264515406,611,25.7,5.3
1968,10,3,11,171.389748122575,62.0831452373078,461,26.5,6.5
1975,7,25,7,82.9273088708087,33.0263257552692,855,31.7,4.8
1975,7,25,8,91.0037330508725,45.3029342093435,916,34.4,3.5
1975,7,25,9,101.266016812595,57.5279691869186,948,37.2,2.1
1975,7,25,10,118.174788453276,69.1357623434169,969,38.9,2.3
1975,7,25,11,157.989936119301,77.6792010365909,975,40.5,2.4
1975,7,25,12,219.729777336642,75.5524275082126,974,42.2,2.6
1975,7,25,13,248.775668180609,65.3998067676301,962,43.1,2.6
1975,7,25,14,262.555758172073,53.4724789693357,936,44.1,2.6
1975,7,25,15,271.817695873775,41.1919077906149,898,45,2.6
1975,7,25,16,279.563490577425,28.9566862854467,831,43.7,2.9
1975,7,25,17,286.968204441091,16.9867059266766,692,42.4,3.3
1967,1,8,8,134.873321356446,16.8669360858984,812,1.1,0
1967,1,8,9,147.113936857447,24.6221718830568,921,4.4,0
1967,1,8,10,161.461832772488,29.9747783156323,967,6.1,0
1967,1,8,11,177.392784317135,32.2392468673535,989,7.7,0
1967,1,8,12,193.574084337599,31.0535738646353,987,9.4,0
1967,1,8,13,208.521599038118,26.613509791515,962,9.8,0
1967,1,8,14,221.43396608123,19.5403705108999,890,10.2,0
1967,1,8,15,232.304670962558,10.5488392573646,752,10.6,0
1975,6,21,7,86.6289089061994,32.9810687831046,774,23.3,5.2
1975,6,21,8,95.4058128926913,45.2783854716101,843,25.6,5.2
1975,6,21,9,106.997233867424,57.3495045944297,882,27.8,5.2
1975,6,21,10,126.438941985673,68.3947435436395,904,29.5,4.5
1975,6,21,11,167.056162152418,75.4340976080887,891,31.1,3.8
1975,6,21,12,218.552956408749,72.5041600017222,849,32.8,3.1
1975,6,21,13,245.638985854259,62.6672362247453,890,33.3,3.8
1975,6,21,14,259.853254243071,50.9115339172914,735,33.9,4.5
1975,6,21,15,269.597101493849,38.6711179181619,715,34.4,5.2
1975,6,21,16,277.711006330783,26.4043633286217,726,33.3,4.5
1975,6,21,17,285.406838991892,14.3603511269077,501,32.2,3.8
1975,6,17,7,87.5058639418537,32.6389469370553,837,25.4,14.6
1975,6,17,8,96.445695762648,44.9318168663491,901,26.8,16.3
1975,6,17,9,108.301566995042,56.9535628223079,934,28.3,18
1975,6,17,10,128.066405718632,67.8578813179635,894,29.1,17.5
1975,6,17,11,167.885338928995,74.6540223023801,835,29.8,17
1975,6,17,12,217.312266981047,71.7913025176045,586,30.6,16.5
1975,6,17,13,244.34551808828,62.1267515217777,742,30,16.1
1975,6,17,14,258.814324118923,50.4463784496199,676,29.5,15.8
1975,6,17,15,268.740224539092,38.2262490898054,454,28.9,15.4
1975,6,17,16,276.971533054002,25.9501235784037,593,27.6,15.4
