UTC_Year,UTC_Month,UTC_Day,UTC_Hour,Az(Deg),El(Deg),DNI (W/m2),T_amb(C),wind speed (m/s)
2006.0,1.0,30.0,8.0,-44.085455790536386,21.446196205240913,16.56,2.37,4.59
2006.0,1.0,30.0,11.0,2.450582455718375,34.51999680672705,1031.58,8.19,4.14
2006.0,1.0,30.0,12.0,19.348722586512622,32.26099983235136,952.26,9.31,4.28
2006.0,3.0,24.0,7.0,-68.87639196890485,26.771590548836215,245.77,13.62,5.88
2006.0,3.0,24.0,8.0,-56.2612473854134,37.32718335858278,366.65,14.15,5.66
2006.0,3.0,24.0,9.0,-39.97333743007187,46.20196006988789,294.81,15.2,6.09
2006.0,3.0,24.0,10.0,-18.765055994273027,52.07573474607321,241.1,16.25,6.52
2006.0,3.0,24.0,11.0,6.035980959942279,53.409558809917165,555.19,17.3,6.95
2006.0,3.0,24.0,12.0,29.557425232660687,49.73849479529224,113.02,17.6,7.03
2006.0,3.0,24.0,13.0,48.34013252191123,42.22892291912448,234.09,17.89,7.1
2006.0,3.0,24.0,14.0,62.66599833862037,32.41815126727257,411.84,18.19,7.17
2006.0,3.0,24.0,15.0,74.07132636098994,21.368832933946276,249.03,17.52,6.1
2006.0,3.0,24.0,16.0,83.88147435162932,9.707895683011527,438.88,16.86,5.03
2011.0,4.0,26.0,7.0,-78.10983412040636,36.29982012844314,622.05,15.6,1.71
2011.0,4.0,26.0,8.0,-65.59598416567648,47.596075131643914,784.88,18.54,1.88
2011.0,4.0,26.0,9.0,-47.8639126266343,57.56588469694153,876.49,19.44,2.29
2011.0,4.0,26.0,10.0,-20.88902921619181,64.37090062235018,949.65,20.34,2.69
2011.0,4.0,26.0,11.0,13.725793157375907,65.13434135337887,981.32,21.24,3.1
2011.0,4.0,26.0,12.0,42.95783815811479,59.39202474053746,992.67,21.55,3.07
2011.0,4.0,26.0,13.0,62.3418375108093,49.89945273019327,951.38,21.87,3.03
2011.0,4.0,26.0,14.0,75.6919008796822,38.796343287483474,827.83,22.19,2.99
2011.0,4.0,26.0,15.0,86.0906231887589,27.066009863825588,847.55,21.58,2.5
2011.0,4.0,26.0,16.0,95.2145041927995,15.188362946906224,788.04,20.98,2.01
2011.0,4.0,26.0,17.0,104.06283147368983,3.4764155369301704,674.9,20.37,1.52
2007.0,12.0,30.0,8.0,-38.692711170644664,18.463046272071804,359.76,2.56,2.65
2007.0,12.0,30.0,9.0,-25.511308011428728,24.79569384431473,693.33,5.67,2.29
2007.0,12.0,30.0,10.0,-10.646039418496168,28.498367326037414,827.97,8.78,1.93
2007.0,12.0,30.0,11.0,5.076694569068104,29.078468324176367,901.35,11.88,1.57
2009.0,10.0,3.0,8.0,-48.135531489658625,36.44153261559078,582.42,23.13,2.15
2009.0,10.0,3.0,9.0,-31.18424163665417,44.05626763418913,737.39,25.43,2.26
