#I,phi,ele,n,m
330.68683127516,-44.0573419164979,44.031144474295,3,9
720.257041463061,0,53.2491867925534,3,9
745.354873886712,44.0573419164979,44.031144474295,3,9
798.248623804486,-69.7931330326702,60.7389990546889,3,9
853.733698286627,0,75.8917828468137,3,9
827.066215566144,69.7931330326702,60.7389990546889,3,9
12.0360285077918,-42.4068551356912,42.1675579662495,3,9
989.481792868213,0,51.0299986457722,3,9
958.514430231492,42.4068551356912,42.1675579662495,3,9
797.068316379038,-29.8534263159389,22.8167907841914,3,9
860.310288616074,0,29.028689373902,3,9
625.305211864735,29.8534263159389,22.8167907841914,3,9
773.339524185195,-30.1206678676379,23.3317663263406,3,9
820.813906374558,0,29.5993443262067,3,9
814.509232051079,30.1206678676379,23.3317663263406,3,9
