#I,phi,ele,n,m
593.710267599314,-43.0752361699655,16.690127271224,3,9
704.694906655891,-30.3726786460539,23.8124747496709,3,10
756.185536256271,-15.8096463172346,28.4903198513552,3,11
771.498166663053,0,30.1323987763874,3,12
756.185536256271,15.8096463172346,28.4903198513552,3,13
704.694906655891,30.3726786460539,23.8124747496709,3,14
593.710267599314,43.0752361699655,16.690127271224,3,15
532.688935431183,-60.0341148265526,13.8668274605884,4,8
701.053311626937,-48.5014504117427,23.5227160331699,4,9
782.756834460704,-34.6871131080583,31.430258756905,4,10
822.39151988421,-18.2838449905543,36.7533406308142,4,11
834.391143651666,0,38.6531442363287,4,12
822.39151988421,18.2838449905543,36.7533406308143,4,13
782.756834460704,34.6871131080582,31.430258756905,4,14
701.053311626938,48.5014504117427,23.5227160331699,4,15
532.688935431183,60.0341148265525,13.8668274605884,4,16
479.882690448646,-80.7232489754431,11.8394418472581,5,7
698.862687887702,-70.6105802421876,23.3506776431184,5,8
803.790352880662,-58.6338536678077,34.0927661203866,5,9
860.195803651322,-43.4440229171353,43.3546088564346,5,10
888.913087999507,-23.7281320852935,49.9696894611935,5,11
897.783909911364,0,52.44,5,12
888.913087999507,23.7281320852935,49.9696894611935,5,13
860.195803651322,43.4440229171353,43.3546088564346,5,14
803.790352880662,58.6338536678077,34.0927661203867,5,15
698.862687887702,70.6105802421876,23.3506776431184,5,16
479.882690448647,80.7232489754431,11.8394418472581,5,17
364.394474110071,-101.007533368137,8.35304479488367,6,6
653.848500943477,-92.1784190330174,20.1531652930574,6,7
787.642605161132,-82.7430443907488,32.0196774158724,6,8
861.421911504099,-71.5047236471894,43.6029731079439,6,9
903.864911870151,-56.3042233531957,54.2922736232808,6,10
926.232514830766,-33.2806955067394,62.7373230600393,6,11
933.24567653216,0,66.2268557636714,6,12
926.232514830766,33.2806955067394,62.7373230600393,6,13
903.864911870152,56.3042233531957,54.2922736232809,6,14
861.421911504099,71.5047236471893,43.6029731079439,6,15
787.642605161132,82.7430443907488,32.0196774158724,6,16
653.848500943477,92.1784190330174,20.1531652930575,6,17
364.394474110071,101.007533368137,8.35304479488367,6,18
520.754715812414,-108.016553846431,13.3788158612571,7,6
717.971328244263,-99.8357529707177,24.9105628449443,7,7
822.255394627913,-91.3522601531334,36.7326731483666,7,8
883.543429199399,-81.48972863223,48.5879449089204,7,9
920.009356674262,-67.93404763473,60.0568328101973,7,10
939.57712068303,-44.4776888435411,70.0157692134321,7,11
945.761655887934,0,74.7476012236126,7,12
939.57712068303,44.4776888435411,70.0157692134321,7,13
920.009356674262,67.93404763473,60.0568328101973,7,14
883.543429199399,81.48972863223,48.5879449089204,7,15
822.255394627913,91.3522601531333,36.7326731483666,7,16
717.971328244263,99.8357529707176,24.9105628449443,7,17
520.754715812414,108.016553846431,13.3788158612571,7,18
