# job,elo,hra,n,m,I,phi,ele,RLLT
0,-72,-45,3,9,593.710267599314,-43.0752361699655,16.690127271224,1
1,-72,-30,3,10,704.694906655891,-30.3726786460539,23.8124747496709,1
2,-72,-15,3,11,756.185536256271,-15.8096463172346,28.4903198513552,1
3,-72,0,3,12,771.498166663053,0,30.1323987763874,1
4,-72,15,3,13,756.185536256271,15.8096463172346,28.4903198513552,1
5,-72,30,3,14,704.694906655891,30.3726786460539,23.8124747496709,1
6,-72,45,3,15,593.710267599314,43.0752361699655,16.690127271224,1
7,-36,-60,4,8,532.688935431183,-60.0341148265526,13.8668274605884,0
8,-36,-45,4,9,701.053311626937,-48.5014504117427,23.5227160331699,0
9,-36,-30,4,10,782.756834460704,-34.6871131080583,31.430258756905,0
10,-36,-15,4,11,822.39151988421,-18.2838449905543,36.7533406308142,0
11,-36,0,4,12,834.391143651666,0,38.6531442363287,0
12,-36,15,4,13,822.39151988421,18.2838449905543,36.7533406308143,0
13,-36,30,4,14,782.756834460704,34.6871131080582,31.430258756905,0
14,-36,45,4,15,701.053311626938,48.5014504117427,23.5227160331699,0
15,-36,60,4,16,532.688935431183,60.0341148265525,13.8668274605884,0
16,0,-75,5,7,479.882690448646,-80.7232489754431,11.8394418472581,1
17,0,-60,5,8,698.862687887702,-70.6105802421876,23.3506776431184,1
18,0,-45,5,9,803.790352880662,-58.6338536678077,34.0927661203866,1
19,0,-30,5,10,860.195803651322,-43.4440229171353,43.3546088564346,1
20,0,-15,5,11,888.913087999507,-23.7281320852935,49.9696894611935,1
21,0,0,5,12,897.783909911364,0,52.44,1
22,0,15,5,13,888.913087999507,23.7281320852935,49.9696894611935,1
23,0,30,5,14,860.195803651322,43.4440229171353,43.3546088564346,1
24,0,45,5,15,803.790352880662,58.6338536678077,34.0927661203867,1
25,0,60,5,16,698.862687887702,70.6105802421876,23.3506776431184,1
26,0,75,5,17,479.882690448647,80.7232489754431,11.8394418472581,1
27,36,-90,6,6,364.394474110071,-101.007533368137,8.35304479488367,0
28,36,-75,6,7,653.848500943477,-92.1784190330174,20.1531652930574,0
29,36,-60,6,8,787.642605161132,-82.7430443907488,32.0196774158724,0
30,36,-45,6,9,861.421911504099,-71.5047236471894,43.6029731079439,0
31,36,-30,6,10,903.864911870151,-56.3042233531957,54.2922736232808,0
32,36,-15,6,11,926.232514830766,-33.2806955067394,62.7373230600393,0
33,36,0,6,12,933.24567653216,0,66.2268557636714,0
34,36,15,6,13,926.232514830766,33.2806955067394,62.7373230600393,0
35,36,30,6,14,903.864911870152,56.3042233531957,54.2922736232809,0
36,36,45,6,15,861.421911504099,71.5047236471893,43.6029731079439,0
37,36,60,6,16,787.642605161132,82.7430443907488,32.0196774158724,0
38,36,75,6,17,653.848500943477,92.1784190330174,20.1531652930575,0
39,36,90,6,18,364.394474110071,101.007533368137,8.35304479488367,0
40,72,-90,7,6,520.754715812414,-108.016553846431,13.3788158612571,1
41,72,-75,7,7,717.971328244263,-99.8357529707177,24.9105628449443,1
42,72,-60,7,8,822.255394627913,-91.3522601531334,36.7326731483666,1
43,72,-45,7,9,883.543429199399,-81.48972863223,48.5879449089204,1
44,72,-30,7,10,920.009356674262,-67.93404763473,60.0568328101973,1
45,72,-15,7,11,939.57712068303,-44.4776888435411,70.0157692134321,1
46,72,0,7,12,945.761655887934,0,74.7476012236126,1
47,72,15,7,13,939.57712068303,44.4776888435411,70.0157692134321,1
48,72,30,7,14,920.009356674262,67.93404763473,60.0568328101973,1
49,72,45,7,15,883.543429199399,81.48972863223,48.5879449089204,1
50,72,60,7,16,822.255394627913,91.3522601531333,36.7326731483666,1
51,72,75,7,17,717.971328244263,99.8357529707176,24.9105628449443,1
52,72,90,7,18,520.754715812414,108.016553846431,13.3788158612571,1
